,Unnamed: 0,url,Product_Code,Name,In_Stock,Price,Nib_Size,Condition,Brand,Type,Color,Demonstrator,Body_Material,Cap_Type,Compatible_inks_&_refills,Filling_Mechanism,Grip_Material,Nib_Color,Nib_Material,Postable,Retractable,Trim,Diameter_Body,Diameter_Cap_(without_clip),Diameter_Cap_(with_clip),Diameter_Grip,Length_Body,Length_Cap,Length_Nib,Length_Overall_(Closed),Length_Overall_(Posted),Weight_Body,Weight_Cap,Weight_Overall,Max_Ink_Capacity_Piston_Vac,Max_Ink_Capacity_Cartridge,Max_Ink_Capacity_Converter,Max_Ink_Capacity_Eyedropper,Cap_Rotations,Description
0,0,https://www.gouletpens.com/collections/all-fountain-pens/products/platinum-preppy-fountain-pen-black,Plat-PSQ-400-01-1,Platinum Preppy Fountain Pen - Black,True,$5.00,"Extra-Fine, Fine, Medium",New,Platinum,Fountain Pens,Black,Yes,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,Black,12mm (0.5in),13mm (0.5in),17mm (0.7in),10mm (0.4in),122mm (4.8in),59.7mm (2.3in),14.5mm (0.6in),138mm (5.4in),154mm (6.1in),9g (0.3oz),4g (0.1oz),13g (0.5oz),1.43ml,1.43ml,0.98ml,4.33ml,,"
The Platinum Preppy fountain pen is one of the best values for the money! This is a fantastic starter fountain pen, or great for lending to a friend. This pen features a translucent black body, a clear cap, black trim, and a stainless steel nib. As a Japanese-made pen, the nib runs on the narrow side. The Preppy accepts proprietary Platinum ink cartridges (one black cartridge is included) or a Platinum converter (sold separately) to fill with bottled ink.
By converting this pen to an eyedropper, you can fill the entire barrel with ink for maximum ink capacity! All you need to do is add an o-ring and a small amount of silicone grease to the threads (available separately).
Click here to shop all compatible Platinum ink cartridges.
"
1,1,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-black-plain,PN91111,Pilot Metropolitan Fountain Pen - Black Plain,True,$23.99,"Fine, Medium, 1.0mm Stub",New,Pilot,Fountain Pens,Black,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. This black metal bodied pen has a glossy black accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
2,2,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-eco-fountain-pen-clear,TW-M7445300,TWSBI ECO Fountain Pen - Clear,True,$28.99,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,Clear,Yes,Resin,Screw-cap,Bottled inks,Piston,Resin,Silver,Steel,Yes,No,Silver,12.8mm (0.5in),14.9mm (0.6in),17.3mm (0.7in),9.1mm (0.4in),131.6mm (5.2in),60.4mm (2.4in),18.5mm (0.7in),138.8mm (5.5in),167.5mm (6.6in),13g (0.5oz),8g (0.3oz),21g (0.7oz),1.76ml,,,,1,"
                                    The TWSBI ECO fountain pen boasts an incredible value with its piston filling system and affordable price. Like many other TWSBI fountain pens, it features a crystal clear acrylic barrel so you can see your ink level, and a clear cap. The pen cap has an inner cap to ensure a perfect seal when stored away. It is completed with silver trim and a silver stainless steel nib. TWSBI's belief is that it is important to allow the user to disassemble and reassemble the pen and completely experience the traditional aspects of owning and using a fountain pen. These pens also come packaged with a wrench and silicone grease. Neither of these accessories are intended to be used immediately, as they are for long-term care and maintenance. Additionally, please use extra care if you choose to disassemble the nib and feed, as the feed is very fragile.
                                    
                                "
3,3,https://www.gouletpens.com/collections/all-fountain-pens/products/noodlers-ahab-flex-fountain-pen-clear,N15021,Noodler's Ahab Flex Fountain Pen - Clear,True,$23.00,Flex,New,Noodler's,Fountain Pens,Clear,Yes,Resin,Screw-cap,Bottled inks,"Eyedropper, Piston",Resin,Silver,Steel,Yes,No,Silver,14mm (0.6in),15mm (0.6in),20mm (0.8in),9.9mm (0.4in),128mm (5in),60mm (2.4in),20mm (0.8in),139mm (5.5in),170mm (6.7in),12g (0.4oz),6g (0.2oz),18g (0.6oz),2.00ml,,,6.17ml,2.25,"
                                    The Noodler's Ahab flex pen features a steel flexible #6 nib and a slide piston mechanism. If you'd like, you can even remove the piston mechanism and use the pen as an eyedropper for a massive 6ml ink capacity. This clear demonstrator Ahab is made of a celluloid derivative and is technically biodegradable and formed from a ""renewable resource"". The vegetal resin body of this pen may show particles or striations within the material. This is most noticeable in demonstrators and bright colors.
The Noodler's flex pens were designed for the hands-on tinkerer - they are made to be taken apart and adjusted. The nib and feed pull right out and can be adjusted and heat set for optimal performance. Don't be afraid to get a little ink on your fingers while you learn how to use this pen.
As a simple rule of thumb for writing with a flex pen, just apply slight pressure on your downstrokes, which will spread the tines and increase the line width, achieving that optimal line variation. Make sure to go slowly so that the ink can keep up with your writing. As with any flex pen, it just takes practice!
Due to the residual machining oils used when cutting the feeds for these pens, we highly encourage you to give the pen a good flush before use. We recommend any of the following options: distilled water, water with a touch of dish soap, a pre-packaged pen flush, or a solution of 10% clear ammonia to water. This should resolve most ink flow issues!
                                    
                                "
4,4,https://www.gouletpens.com/collections/all-fountain-pens/products/platinum-preppy-fountain-pen-blue,Plat-PSQ-400-03-1,Platinum Preppy Fountain Pen - Blue,True,$4.98,"Extra-Fine, Fine, Medium",New,Platinum,Fountain Pens,Blue,Yes,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter, Eyedropper",Resin,Silver,Steel,Yes,No,Blue,12mm (0.5in),13mm (0.5in),17mm (0.7in),10mm (0.4in),122mm (4.8in),59.7mm (2.3in),14.5mm (0.6in),138mm (5.4in),154mm (6.1in),9g (0.3oz),4g (0.1oz),13g (0.5oz),1.43ml,1.43ml,0.98ml,4.33ml,,"
The Platinum Preppy fountain pen is one of the best values for the money! This is a fantastic starter fountain pen, or great for lending to a friend. This pen features a clear plastic body with blue accents, and a stainless steel nib. As a Japanese-made pen, the nib runs on the narrow side. The Preppy accepts proprietary Platinum ink cartridges (one blue cartridge is included) or a Platinum converter (sold separately) to fill with bottled ink.
By converting this pen to an eyedropper, you can fill the entire barrel with ink for maximum ink capacity! All you need to do is add an o-ring and a small amount of silicone grease to the threads (available separately).
Click here to shop all compatible Platinum ink cartridges.
"
5,5,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-eco-fountain-pen-black,TW-M7444280,TWSBI ECO Fountain Pen - Black,True,$28.99,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,"Black, Clear",Yes,Resin,Screw-cap,Bottled inks,Piston,Resin,Silver,Steel,Yes,No,Silver,12.8mm (0.5in),14.9mm (0.6in),17.3mm (0.7in),9.1mm (0.4in),131.6mm (5.2in),60.4mm (2.4in),18.5mm (0.7in),138.8mm (5.5in),167.5mm (6.6in),13g (0.5oz),8g (0.3oz),21g (0.7oz),1.76ml,,,,1,"
                                    The TWSBI ECO fountain pen boasts an incredible value with its piston filling system and affordable price. Like many other TWSBI fountain pens, it features a crystal clear acrylic barrel so you can see your ink level, and a solid black cap. The pen cap has an inner cap to ensure a perfect seal when stored away. It is completed with silver trim and a silver stainless steel nib. TWSBI's belief is that it is important to allow the user to disassemble and reassemble the pen and completely experience the traditional aspects of owning and using a fountain pen. These pens also come packaged with a wrench and silicone grease. Neither of these accessories are intended to be used immediately, as they are for long-term care and maintenance. Additionally, please use extra care if you choose to disassemble the nib and feed, as the feed is very fragile.
                                    
                                "
6,6,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-diamond-580-fountain-pen-clear,TW-M7443110,TWSBI Diamond 580 Fountain Pen - Clear,True,$50.00,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,Clear,Yes,Resin,Screw-cap,Bottled inks,Piston,Resin,Silver,Steel,No,No,Silver,13.3mm (0.5in),14.4mm (0.6in),18.6mm (0.7in),10mm (0.4in),130mm (5.1in),60mm (2.4in),19mm (0.7in),142mm (5.6in),142mm (5.6in),14g (0.5oz),14g (0.5oz),28g (1oz),1.98ml,,,,1.25,"
                                    The TWSBI Diamond 580 comes with a benchmark piston ink-filling mechanism and has all detachable parts. The clear demonstrator barrel allows you to see your ink color and remaining ink level. It has a clear grip section and screw-cap. It comes with a stainless steel nib and is presented in a modern clear display. The idea behind the TWSBI Diamond 580 was to go back to basics and capture the simplicity and elegance of traditional writing instruments. In recent years, the development and modernization of writing instruments has resulted in traditional writing instruments, such as fountain pens, falling into obscurity. It was TWSBI's goal to bring the past back to life by creating a traditional fountain pen that even modern day society can appreciate. The TWSBI Diamond 580 is a classic fountain pen with a piston ink-filling system. By fusing the traditional mechanisms of the fountain pen with a modern industrial design, TWSBI has created an eye-catching fountain pen that is simultaneously appreciative of the past and relevant in the present. TWSBI's belief is that it is important to allow the user to disassemble and reassemble the pen and completely experience the traditional aspects of owning and using a fountain pen. These pens also come packaged with a wrench and silicone grease. Neither of these accessories are intended to be used immediately, as they are for long-term care and maintenance. Additionally, please use extra care if you choose to disassemble the nib and feed, as the feed is very fragile.
                                    
                                "
7,7,https://www.gouletpens.com/collections/all-fountain-pens/products/twsbi-eco-fountain-pen-white,TW-M7444330,TWSBI ECO Fountain Pen - White,True,$28.99,"Extra-Fine, Fine, Medium, Broad, 1.1mm Stub",New,TWSBI,Fountain Pens,"Clear, White/Ivory",Yes,Resin,Screw-cap,Bottled inks,Piston,Resin,Silver,Steel,Yes,No,Silver,12.8mm (0.5in),14.9mm (0.6in),17.3mm (0.7in),9.1mm (0.4in),131.6mm (5.2in),60.4mm (2.4in),18.5mm (0.7in),138.8mm (5.5in),167.5mm (6.6in),13g (0.5oz),8g (0.3oz),21g (0.7oz),1.76ml,,,,1,"
                                    The TWSBI ECO fountain pen boasts an incredible value with its piston filling system and affordable price. Like many other TWSBI fountain pens, it features a crystal clear acrylic barrel so you can see your ink level, and a solid white cap. The pen cap has an inner cap to ensure a perfect seal when stored away. It is completed with silver trim and a silver stainless steel nib.
TWSBI's belief is that it is important to allow the user to disassemble and reassemble the pen and completely experience the traditional aspects of owning and using a fountain pen. These pens also come packaged with a wrench and silicone grease. Neither of these accessories are intended to be used immediately, as they are for long-term care and maintenance. Additionally, please use extra care if you choose to disassemble the nib and feed, as the feed is very fragile.
                                    
                                "
8,8,https://www.gouletpens.com/collections/all-fountain-pens/products/pilot-metropolitan-fountain-pen-retro-pop-turquoise,PN91436,Pilot Metropolitan Fountain Pen - Retro Pop Turquoise,True,$23.99,"Fine, Medium, 1.0mm Stub",New,Pilot,Fountain Pens,Blue,No,Lacquered metal,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Silver,Steel,Yes,No,Silver,13mm (0.5in),13mm (0.5in),15.8mm (0.6in),8.4mm (0.3in),126mm (5in),57mm (2.2in),18mm (0.7in),138mm (5.4in),153mm (6in),17g (0.6oz),9g (0.3oz),26g (0.9oz),1.10ml,1.10ml,1.30ml,,,"
A fantastic value from Pilot, the Metropolitan is a favorite first fountain pen. Part of the Retro Pop collection, this turquosie blue metal bodied pen has a patterned accent band, silver trim, and a steel nib. It comes with a squeeze converter and a black Pilot ink cartridge, or you can upgrade to a CON-40 twist piston converter to use bottled ink if you prefer. It comes packaged in a gift box.
Click here to shop all compatible Pilot ink cartridges.
"
9,9,https://www.gouletpens.com/collections/all-fountain-pens/products/lamy-safari-fountain-pen-charcoal,LMY-L17F,LAMY Safari Fountain Pen - Charcoal,True,$29.60,"Extra-Fine, Fine, Medium, Broad",New,LAMY,Fountain Pens,Black,No,Resin,Snap-cap,"Bottled inks, Proprietary ink cartridges","Cartridge, Converter",Resin,Black,Steel,Yes,No,Black,12.3mm (0.5in),13.5mm (0.5in),17mm (0.7in),8.9mm (0.3in),128.7mm (5.1in),65.4mm (2.6in),15.9mm (0.6in),139.5mm (5.5in),163.9mm (6.5in),10g (0.4oz),7g (0.2oz),17g (0.6oz),1.56ml,1.56ml,1.08ml,,,"
The LAMY Safari is a workhorse pen, known throughout the fountain pen community for its ruggedness, reliability, and no-nonsense functionality. The triangular grip makes it great for those starting out who have no idea how to hold a fountain pen, but it's used and loved by fountain pen lovers of all levels of experience. This matte charcoal dark grey Safari comes with an interchangeable black steel nib, which can be easily swapped out for another size. This fountain pen comes with a blue LAMY ink cartridge so you can get started writing right away. If you'd like to use bottled fountain pen ink, you can also purchase a LAMY Z28 converter.
Note: To ensure quality performance, LAMY tests their pens as a final step in manufacturing. If you happen to see any residual blue ink, rest assured that this is normal.
Click here to shop all compatible LAMY ink cartridges.
"
